actual_block_time,actual_flight_duration,actual_taxi_in_time,actual_taxi_out_time,aircraft_code_iata,aircraft_code_icao,aircraft_serial_number,aircraft_type,aircraft_type_series,baggage_claim,country_code,fleet_aircraft_id,flight_date_utc,flight_id,flight_number,flight_type,is_cancelled,is_diverted,operating_carrier_iata,operating_carrier_id,operating_carrier_name,region_name,tail_number,total_seat_count,actual_gate_departure_local,actual_runway_departure_local,departure_airport_iata,departure_airport_id,departure_gate,departure_terminal,gate_departure_delay,scheduled_gate_departure_local,show_up_time,checkin_on_pred,checkin_done_pred,checkin_pt,checkin_pred,departure_gate_on_pred,departure_gate_done_pred,departure_gate_pt,departure_gate_pred,security_on_pred,security_done_pred,security_pt,security_pred,passport_on_pred,passport_done_pred,passport_pt,passport_pred,checkin_pt_pred,departure_gate_pt_pred,security_pt_pred,passport_pt_pred
228.0,209,10.0,9.0,321,A321,5169,A321,A321-200,,CN,137085,2024-01-01,1229545210,OZ9017,International,False,False,OZ,OZ,Asiana Airlines,Asia,HL8256,171,2024-01-02T01:19:00,2024-01-02T01:28:00,ICN,ICN,,1,-11.0,2024-01-02T01:30:00,2024-01-01 23:13:31.069208544,2024-01-01 23:13:31.069208544,2024-01-01 23:14:25.069208544,54,checkin_A,2024-01-01 23:14:25.069208544,2024-01-01 23:15:32.069208544,67,departure_gate_DG1,2024-01-01 23:15:32.069208544,2024-01-01 23:16:48.069208544,76,security_SC2,2024-01-01 23:16:48.069208544,2024-01-01 23:17:49.069208544,61,passport_PC1,2024-01-01 23:13:31.069208544,2024-01-01 23:14:25.069208544,2024-01-01 23:15:32.069208544,2024-01-01 23:16:48.069208544
228.0,209,10.0,9.0,321,A321,5169,A321,A321-200,,CN,137085,2024-01-01,1229545210,OZ9017,International,False,False,OZ,OZ,Asiana Airlines,Asia,HL8256,171,2024-01-02T01:19:00,2024-01-02T01:28:00,ICN,ICN,,1,-11.0,2024-01-02T01:30:00,2024-01-01 23:14:48.773325540,2024-01-01 23:14:49.069208544,2024-01-01 23:15:56.069208544,67,checkin_A,2024-01-01 23:15:56.069208544,2024-01-01 23:16:53.069208544,57,departure_gate_DG1,2024-01-01 23:16:53.069208544,2024-01-01 23:17:54.069208544,61,security_SC1,2024-01-01 23:17:54.069208544,2024-01-01 23:18:41.069208544,47,passport_PC2,2024-01-01 23:14:49.069208544,2024-01-01 23:15:56.069208544,2024-01-01 23:16:53.069208544,2024-01-01 23:17:54.069208544
228.0,209,10.0,9.0,321,A321,5169,A321,A321-200,,CN,137085,2024-01-01,1229545210,OZ9017,International,False,False,OZ,OZ,Asiana Airlines,Asia,HL8256,171,2024-01-02T01:19:00,2024-01-02T01:28:00,ICN,ICN,,1,-11.0,2024-01-02T01:30:00,2024-01-01 23:15:49.678509540,2024-01-01 23:15:50.069208544,2024-01-01 23:16:56.069208544,66,checkin_A,2024-01-01 23:16:56.069208544,2024-01-01 23:17:47.069208544,51,departure_gate_DG1,2024-01-01 23:17:47.069208544,2024-01-01 23:18:47.069208544,60,security_SC2,2024-01-01 23:18:47.069208544,2024-01-01 23:19:52.069208544,65,passport_PC1,2024-01-01 23:15:50.069208544,2024-01-01 23:16:56.069208544,2024-01-01 23:17:47.069208544,2024-01-01 23:18:47.069208544
228.0,209,10.0,9.0,321,A321,5169,A321,A321-200,,CN,137085,2024-01-01,1229545210,OZ9017,International,False,False,OZ,OZ,Asiana Airlines,Asia,HL8256,171,2024-01-02T01:19:00,2024-01-02T01:28:00,ICN,ICN,,1,-11.0,2024-01-02T01:30:00,2024-01-01 23:16:50.931039942,2024-01-01 23:16:51.069208544,2024-01-01 23:17:52.069208544,61,checkin_A,2024-01-01 23:17:52.069208544,2024-01-01 23:18:52.069208544,60,departure_gate_DG2,2024-01-01 23:18:52.069208544,2024-01-01 23:19:54.069208544,62,security_SC1,2024-01-01 23:19:54.069208544,2024-01-01 23:21:06.069208544,72,passport_PC2,2024-01-01 23:16:51.069208544,2024-01-01 23:17:52.069208544,2024-01-01 23:18:52.069208544,2024-01-01 23:19:54.069208544
228.0,209,10.0,9.0,321,A321,5169,A321,A321-200,,CN,137085,2024-01-01,1229545210,OZ9017,International,False,False,OZ,OZ,Asiana Airlines,Asia,HL8256,171,2024-01-02T01:19:00,2024-01-02T01:28:00,ICN,ICN,,1,-11.0,2024-01-02T01:30:00,2024-01-01 23:17:18.362914866,2024-01-01 23:17:18.069208544,2024-01-01 23:18:10.069208544,52,checkin_A,2024-01-01 23:18:10.069208544,2024-01-01 23:19:13.069208544,63,departure_gate_DG2,2024-01-01 23:19:13.069208544,2024-01-01 23:20:13.069208544,60,security_SC1,2024-01-01 23:20:13.069208544,2024-01-01 23:21:09.069208544,56,passport_PC2,2024-01-01 23:17:18.069208544,2024-01-01 23:18:10.069208544,2024-01-01 23:19:13.069208544,2024-01-01 23:20:13.069208544
228.0,209,10.0,9.0,321,A321,5169,A321,A321-200,,CN,137085,2024-01-01,1229545210,OZ9017,International,False,False,OZ,OZ,Asiana Airlines,Asia,HL8256,171,2024-01-02T01:19:00,2024-01-02T01:28:00,ICN,ICN,,1,-11.0,2024-01-02T01:30:00,2024-01-01 23:17:33.027820836,2024-01-01 23:17:33.069208544,2024-01-01 23:18:27.069208544,54,checkin_A,2024-01-01 23:18:27.069208544,2024-01-01 23:19:27.069208544,60,departure_gate_DG1,2024-01-01 23:19:27.069208544,2024-01-01 23:20:30.069208544,63,security_SC1,2024-01-01 23:20:30.069208544,2024-01-01 23:21:27.069208544,57,passport_PC2,2024-01-01 23:17:33.069208544,2024-01-01 23:18:27.069208544,2024-01-01 23:19:27.069208544,2024-01-01 23:20:30.069208544
228.0,209,10.0,9.0,321,A321,5169,A321,A321-200,,CN,137085,2024-01-01,1229545210,OZ9017,International,False,False,OZ,OZ,Asiana Airlines,Asia,HL8256,171,2024-01-02T01:19:00,2024-01-02T01:28:00,ICN,ICN,,1,-11.0,2024-01-02T01:30:00,2024-01-01 23:17:35.539544796,2024-01-01 23:17:35.069208544,2024-01-01 23:18:44.069208544,69,checkin_A,2024-01-01 23:18:44.069208544,2024-01-01 23:19:39.069208544,55,departure_gate_DG1,2024-01-01 23:19:39.069208544,2024-01-01 23:20:37.069208544,58,security_SC1,2024-01-01 23:20:37.069208544,2024-01-01 23:21:31.069208544,54,passport_PC2,2024-01-01 23:17:35.069208544,2024-01-01 23:18:44.069208544,2024-01-01 23:19:39.069208544,2024-01-01 23:20:37.069208544
228.0,209,10.0,9.0,321,A321,5169,A321,A321-200,,CN,137085,2024-01-01,1229545210,OZ9017,International,False,False,OZ,OZ,Asiana Airlines,Asia,HL8256,171,2024-01-02T01:19:00,2024-01-02T01:28:00,ICN,ICN,,1,-11.0,2024-01-02T01:30:00,2024-01-01 23:18:22.557281862,2024-01-01 23:18:22.069208544,2024-01-01 23:19:15.069208544,53,checkin_A,2024-01-01 23:19:15.069208544,2024-01-01 23:20:07.069208544,52,departure_gate_DG2,2024-01-01 23:20:07.069208544,2024-01-01 23:21:08.069208544,61,security_SC1,2024-01-01 23:21:08.069208544,2024-01-01 23:22:00.069208544,52,passport_PC1,2024-01-01 23:18:22.069208544,2024-01-01 23:19:15.069208544,2024-01-01 23:20:07.069208544,2024-01-01 23:21:08.069208544
228.0,209,10.0,9.0,321,A321,5169,A321,A321-200,,CN,137085,2024-01-01,1229545210,OZ9017,International,False,False,OZ,OZ,Asiana Airlines,Asia,HL8256,171,2024-01-02T01:19:00,2024-01-02T01:28:00,ICN,ICN,,1,-11.0,2024-01-02T01:30:00,2024-01-01 23:18:42.514398306,2024-01-01 23:18:42.069208544,2024-01-01 23:19:48.069208544,66,checkin_A,2024-01-01 23:19:48.069208544,2024-01-01 23:20:47.069208544,59,departure_gate_DG1,2024-01-01 23:20:47.069208544,2024-01-01 23:21:59.069208544,72,security_SC2,2024-01-01 23:21:59.069208544,2024-01-01 23:23:06.069208544,67,passport_PC1,2024-01-01 23:18:42.069208544,2024-01-01 23:19:48.069208544,2024-01-01 23:20:47.069208544,2024-01-01 23:21:59.069208544
228.0,209,10.0,9.0,321,A321,5169,A321,A321-200,,CN,137085,2024-01-01,1229545210,OZ9017,International,False,False,OZ,OZ,Asiana Airlines,Asia,HL8256,171,2024-01-02T01:19:00,2024-01-02T01:28:00,ICN,ICN,,1,-11.0,2024-01-02T01:30:00,2024-01-01 23:19:06.685882170,2024-01-01 23:19:07.069208544,2024-01-01 23:20:16.069208544,69,checkin_A,2024-01-01 23:20:16.069208544,2024-01-01 23:21:06.069208544,50,departure_gate_DG2,2024-01-01 23:21:06.069208544,2024-01-01 23:22:18.069208544,72,security_SC1,2024-01-01 23:22:18.069208544,2024-01-01 23:23:26.069208544,68,passport_PC1,2024-01-01 23:19:07.069208544,2024-01-01 23:20:16.069208544,2024-01-01 23:21:06.069208544,2024-01-01 23:22:18.069208544
228.0,209,10.0,9.0,321,A321,5169,A321,A321-200,,CN,137085,2024-01-01,1229545210,OZ9017,International,False,False,OZ,OZ,Asiana Airlines,Asia,HL8256,171,2024-01-02T01:19:00,2024-01-02T01:28:00,ICN,ICN,,1,-11.0,2024-01-02T01:30:00,2024-01-01 23:20:24.137870040,2024-01-01 23:20:24.069208544,2024-01-01 23:21:20.069208544,56,checkin_A,2024-01-01 23:21:20.069208544,2024-01-01 23:22:20.069208544,60,departure_gate_DG2,2024-01-01 23:22:20.069208544,2024-01-01 23:23:23.069208544,63,security_SC1,2024-01-01 23:23:23.069208544,2024-01-01 23:24:18.069208544,55,passport_PC2,2024-01-01 23:20:24.069208544,2024-01-01 23:21:20.069208544,2024-01-01 23:22:20.069208544,2024-01-01 23:23:23.069208544
228.0,209,10.0,9.0,321,A321,5169,A321,A321-200,,CN,137085,2024-01-01,1229545210,OZ9017,International,False,False,OZ,OZ,Asiana Airlines,Asia,HL8256,171,2024-01-02T01:19:00,2024-01-02T01:28:00,ICN,ICN,,1,-11.0,2024-01-02T01:30:00,2024-01-01 23:20:40.794394320,2024-01-01 23:20:41.069208544,2024-01-01 23:21:33.069208544,52,checkin_A,2024-01-01 23:21:33.069208544,2024-01-01 23:22:31.069208544,58,departure_gate_DG1,2024-01-01 23:22:31.069208544,2024-01-01 23:23:33.069208544,62,security_SC1,2024-01-01 23:23:33.069208544,2024-01-01 23:24:28.069208544,55,passport_PC1,2024-01-01 23:20:41.069208544,2024-01-01 23:21:33.069208544,2024-01-01 23:22:31.069208544,2024-01-01 23:23:33.069208544
228.0,209,10.0,9.0,321,A321,5169,A321,A321-200,,CN,137085,2024-01-01,1229545210,OZ9017,International,False,False,OZ,OZ,Asiana Airlines,Asia,HL8256,171,2024-01-02T01:19:00,2024-01-02T01:28:00,ICN,ICN,,1,-11.0,2024-01-02T01:30:00,2024-01-01 23:21:00.528196668,2024-01-01 23:21:00.069208544,2024-01-01 23:21:57.069208544,57,checkin_A,2024-01-01 23:21:57.069208544,2024-01-01 23:22:53.069208544,56,departure_gate_DG1,2024-01-01 23:22:53.069208544,2024-01-01 23:23:48.069208544,55,security_SC1,2024-01-01 23:23:48.069208544,2024-01-01 23:24:44.069208544,56,passport_PC1,2024-01-01 23:21:00.069208544,2024-01-01 23:21:57.069208544,2024-01-01 23:22:53.069208544,2024-01-01 23:23:48.069208544
